company	id	M1_num_clusters	M2_num_clusters	M1_num_remote_clusters	M2_num_remote_clusters	M1_HQ_state	M1_HQ_country	M1_HQ_coordinates	M2_HQ_state	M2_HQ_country	M2_HQ_coordinates	HQ1-HQ2_distance	average_cluster_distance	median_cluster_distance	sd	pairs
saint-gobain	1913c3fd-d67d-0b9b-21b7-aa2b2b278439	7	7	6	6	MN	US	(44.8897, -93.3497)	MN	US	(44.8897, -93.3497)	0.0	26.88413641443667	0.0	71.12873916533512	((44.8897, -93.3497)-('44.8897', '-93.3497')); ((43.5987, 7.0043)-('43.5987', '7.0043')); ((49.3471, 2.9053)-('49.3471', '2.9053')); ((50.6833, 6.1167)-('50.6833', '6.1167')); ((37.6584, 126.832)-('35.9677', '126.7366')); ((27.9092, -82.7875)-('27.9092', '-82.7875')); ((39.0436, -77.4878)-('39.0436', '-77.4878'))
ixia	70d38275-5a5f-e583-b308-321618fdb15d	1	1	0	0	TX	US	(30.2669, -97.7428)	TX	US	(30.2669, -97.7428)	0.0	0.0	0.0	N/A	((30.2669, -97.7428)-('30.2669', '-97.7428'))
lg chem	31a14031-5326-40a1-4adb-53977b16dcc9	2	2	1	1	CA	US	(34.0983, -118.3258)	CA	US	(34.0983, -118.3258)	0.0	0.0	0.0	N/A	((34.0983, -118.3258)-('34.0983', '-118.3258')); ((37.2845, 128.8767)-('37.2845', '128.8767'))
magma design automation	5ba9f0eb-8416-037e-c88a-8574ac2bd4e7	1	1	0	0	CA	US	(37.3861, -122.0828)	CA	US	(37.3861, -122.0828)	0.0	0.0	0.0	N/A	((37.3861, -122.0828)-('37.3861', '-122.0828'))
blackberry	c13fc3f5-6944-d73a-5ffe-b458060dac4e	10	10	9	9		CA	(43.4503, -80.4832)		CA	(43.4503, -80.4832)	0.0	0.0	0.0	0.0	((43.4503, -80.4832)-('43.4503', '-80.4832')); ((50.7147, 4.3991)-('50.7147', '4.3991')); ((42.0842, -88.0131)-('42.0842', '-88.0131')); ((32.1848, 34.8713)-('32.1848', '34.8713')); ((45.4167, -75.7)-('45.4167', '-75.7')); ((50.9095, -1.4104)-('50.9095', '-1.4104')); ((44.05, -64.75)-('44.05', '-64.75')); ((47.4067, -122.0375)-('47.4067', '-122.0375')); ((30.2669, -97.7428)-('30.2669', '-97.7428')); ((-37.4167, 144.3167)-('-37.4167', '144.3167'))
nvidia	ee17319e-f5ee-9c9a-6500-edf82b4fbf05	29	29	28	28	CA	US	(36.9742, -122.0297)	CA	US	(36.9742, -122.0297)	0.0	0.0	0.0	0.0	((36.9742, -122.0297)-('36.9742', '-122.0297')); ((52.4965, 13.4137)-('52.4965', '13.4137')); ((43.6163, 7.0552)-('43.6163', '7.0552')); ((35.9939, -78.8989)-('35.9939', '-78.8989')); ((42.7119, -73.2042)-('42.7119', '-73.2042')); ((30.2669, -97.7428)-('30.2669', '-97.7428')); ((48.4, 10)-('48.4', '10')); ((51.4545, -2.5879)-('51.4545', '-2.5879')); ((45.4208, -122.6694)-('45.4208', '-122.6694')); ((-41.3, 174.7833)-('-41.3', '174.7833')); ((60.4167, 25.0333)-('60.4167', '25.0333')); ((32.8364, -96.4747)-('32.8364', '-96.4747')); ((52.2048, 0.1095)-('52.2048', '0.1095')); ((-30.0346, -51.2177)-('-30.0346', '-51.2177')); ((33.6694, -117.8222)-('33.6694', '-117.8222')); ((55.2083, -2.0784)-('55.2083', '-2.0784')); ((31.0456, 121.3997)-('31.0456', '121.3997')); ((38.0292, -78.4769)-('38.0292', '-78.4769')); ((40.7608, -111.8903)-('40.7608', '-111.8903')); ((12.9833, 77.5833)-('12.9833', '77.5833')); ((46.8114, 1.6868)-('46.8114', '1.6868')); ((40.5853, -105.0839)-('40.5853', '-105.0839')); ((-21.8667, -41.4667)-('-21.8667', '-41.4667')); ((49.3921, 6.7022)-('49.3921', '6.7022')); ((-33.8667, 151.2)-('-33.8667', '151.2')); ((45.673, -73.88)-('45.673', '-73.88')); ((34.6992, -86.7483)-('34.6992', '-86.7483')); ((42.9006, -78.6706)-('42.9006', '-78.6706')); ((46.5333, 6.6667)-('46.5333', '6.6667'))
live nation entertainment	66120225-ce40-6f20-2021-0c5e363a2e26	5	5	4	4	CA	US	(34.0522, -118.2428)	CA	US	(34.0522, -118.2428)	0.0	0.0	0.0	0.0	((34.0522, -118.2428)-('34.0522', '-118.2428')); ((42.1103, -88.0342)-('42.1103', '-88.0342')); ((27.9472, -82.4586)-('27.9472', '-82.4586')); ((46.8, -71.25)-('46.8', '-71.25')); ((33.3528, -111.7883)-('33.3528', '-111.7883'))
rovi corporation	27c9e2fe-77a5-a849-0c7d-3b92f7c3df9c	1	1	0	0		KR	(37.3447, 126.9683)		KR	(37.3447, 126.9683)	0.0	0.0	0.0	N/A	((37.3447, 126.9683)-('37.3447', '126.9683'))
transcore	c5282eda-14f6-4ab3-3dea-85e8702f78bf	4	4	3	3	NM	US	(35.0844, -106.6506)	CA	US	(32.9628, -117.035)	985.1407477516362	0.0	0.0	0.0	((35.0844, -106.6506)-('35.0844', '-106.6506')); ((32.9628, -117.035)-('32.9628', '-117.035')); ((44.7205, -76.9238)-('44.7205', '-76.9238')); ((38.5742, -121.3819)-('38.5742', '-121.3819'))
sunrise telecom	7aeb9e31-418c-4af9-a251-4eeb2640bacb	2	2	1	1	CA	US	(37.5483, -121.9875)	CA	US	(37.5483, -121.9875)	0.0	0.0	0.0	N/A	((37.5483, -121.9875)-('37.5483', '-121.9875')); ((46.3888, 6.2393)-('46.3888', '6.2393'))
