company_name	id	number_of_inventors	number_of_local_inventors	number_of_remote_inventors	number_of_clusters (local+remote)	radius_local	radius_remote	local_cluster	nonlocal_cluster	remote_cluster
medtronic	8747434	3	3	0	1	70	70	{'number_of_inventors_in_cluster': 3, 'locations': '(40.015 -105.27); (39.7392 -104.9842); (39.9936 -105.0892)', 'center_lat': 40.015, 'center_lng': -105.27, 'state': 'CO', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	N/A
medtronic	8758243	7	5	2	3	70	70	{'number_of_inventors_in_cluster': 5, 'locations': '(37.78 -121.9769); (37.4283 -121.9056); (37.8044 -122.2697); (37.6625 -121.8736); (37.9578 -121.2897)', 'center_lat': 37.78, 'center_lng': -121.9769, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	[{'number_of_inventors_in_cluster': 1, 'locations': '(34.2175 -118.3694)', 'center_lat': 34.2175, 'center_lng': -118.3694, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 511.9970708990451}, {'number_of_inventors_in_cluster': 1, 'locations': '(47.6064 -122.3308)', 'center_lat': 47.6064, 'center_lng': -122.3308, 'state': 'WA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 1093.0252366244754}]
medtronic	8764765	8	5	3	3	70	70	{'number_of_inventors_in_cluster': 5, 'locations': '(41.2428 -73.2011); (41.4569 -72.8236); (41.3081 -72.9286); (41.3967 -73.0764); (41.2222 -73.0569)', 'center_lat': 41.2428, 'center_lng': -73.2011, 'state': 'CT', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	[{'number_of_inventors_in_cluster': 2, 'locations': '(32.8156 34.9892); (32.8156 34.9892)', 'center_lat': 32.8156, 'center_lng': 34.9892, 'state': '', 'country': 'IL', 'geographical_relationship': 'cross border', 'haversine_distance_to_local': 8983.779981396703}, {'number_of_inventors_in_cluster': 1, 'locations': '(40.3764 -74.2447)', 'center_lat': 40.3764, 'center_lng': -74.2447, 'state': 'NJ', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 130.36497404192158}]
medtronic	8784333	6	5	1	2	70	70	{'number_of_inventors_in_cluster': 5, 'locations': '(37.3542 -121.9542); (37.5072 -122.2594); (37.5275 -122.5122); (37.5203 -122.2747); (37.3394 -121.8939)', 'center_lat': 37.3542, 'center_lng': -121.9542, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	[{'number_of_inventors_in_cluster': 1, 'locations': '(32.5006 -94.7403)', 'center_lat': 32.5006, 'center_lng': -94.7403, 'state': 'TX', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 2529.6394127441604}]
medtronic	8795266	5	5	0	1	70	70	{'number_of_inventors_in_cluster': 5, 'locations': '(37.3394 -121.8939); (37.3394 -121.8939); (37.4539 -122.1811); (37.3394 -121.8939); (37.3394 -121.8939)', 'center_lat': 37.3394, 'center_lng': -121.8939, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	N/A
medtronic	8808282	6	4	2	2	70	70	{'number_of_inventors_in_cluster': 4, 'locations': '(37.3842 -122.2342); (37.3689 -122.0353); (37.2639 -122.0219); (37.3853 -122.1131)', 'center_lat': 37.3842, 'center_lng': -122.2342, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	[{'number_of_inventors_in_cluster': 2, 'locations': '(40.015 -105.27); (40.1672 -105.1014)', 'center_lat': 40.015, 'center_lng': -105.27, 'state': 'CO', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 1498.4991069186758}]
medtronic	8855734	4	2	2	3	70	70	{'number_of_inventors_in_cluster': 2, 'locations': '(37.3842 -122.2342); (37.8217 -121.9989)', 'center_lat': 37.3842, 'center_lng': -122.2342, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	[{'number_of_inventors_in_cluster': 1, 'locations': '(37.3139 -121.0197)', 'center_lat': 37.3139, 'center_lng': -121.0197, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 107.63906474100035}, {'number_of_inventors_in_cluster': 1, 'locations': '(44.8547 -93.4706)', 'center_lat': 44.8547, 'center_lng': -93.4706, 'state': 'MN', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 2532.8194620526133}]
medtronic	8876708	5	4	1	2	70	70	{'number_of_inventors_in_cluster': 4, 'locations': '(41.2428 -73.2011); (41.3081 -72.9286); (41.3967 -73.0764); (41.1414 -73.3583)', 'center_lat': 41.2428, 'center_lng': -73.2011, 'state': 'CT', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	[{'number_of_inventors_in_cluster': 1, 'locations': '(40.3764 -74.2447)', 'center_lat': 40.3764, 'center_lng': -74.2447, 'state': 'NJ', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 130.36497404192158}]
medtronic	8888695	5	4	1	2	70	70	{'number_of_inventors_in_cluster': 4, 'locations': '(41.3081 -72.9286); (41.3967 -73.0764); (41.1414 -73.3583); (41.2428 -73.2011)', 'center_lat': 41.3081, 'center_lng': -72.9286, 'state': 'CT', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	[{'number_of_inventors_in_cluster': 1, 'locations': '(40.65 -73.95)', 'center_lat': 40.65, 'center_lng': -73.95, 'state': 'NY', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 112.72286285083882}]
medtronic	8911365	5	4	1	2	70	70	{'number_of_inventors_in_cluster': 4, 'locations': '(41.2428 -73.2011); (41.3081 -72.9286); (41.3967 -73.0764); (41.1414 -73.3583)', 'center_lat': 41.2428, 'center_lng': -73.2011, 'state': 'CT', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	[{'number_of_inventors_in_cluster': 1, 'locations': '(40.3764 -74.2447)', 'center_lat': 40.3764, 'center_lng': -74.2447, 'state': 'NJ', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 130.36497404192158}]
