cluster_id	company_id	company	patent_id	local_radius	remote_radius	number_of_inventors	locations	center_lat	center_lng	state	country	geographical_relationship	haversine_distance_to_local
101	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7608059	70	70	6	(38.7809 -90.7884); (38.815 -90.9558); (38.4086 -89.9919); (38.4819 -90.7414); (38.8106 -90.6997); (38.5581 -91.0119)	38.4819	-90.7414	MO	US	domestic	N/A
102	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7611502	70	70	1	(53.2357 -7.7122)	53.2357	-7.7122	N/A	IE	domestic	N/A
103	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7621909	70	70	2	(40.1672 -105.1014); (40.015 -105.27)	40.1672	-105.1014	CO	US	domestic	N/A
104	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7625386	70	70	2	(34.75 137.9167); (34.75 137.9167)	34.75	137.9167	N/A	JP	domestic	N/A
105	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7627380	70	70	2	(39.9778 -105.1314); (40.015 -105.27)	39.9778	-105.1314	CO	US	domestic	N/A
106	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7628787	70	70	5	(40.015 -105.27); (40.015 -105.27); (40.3083 -105.0806); (40.1672 -105.1014); (40.015 -105.27)	40.015	-105.27	CO	US	domestic	N/A
107	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7628791	70	70	2	(39.9206 -105.0861); (40.1672 -105.1014)	39.9206	-105.0861	CO	US	domestic	N/A
108	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7628791	70	70	1	(41.2889 -72.6822)	41.2889	-72.6822	CT	US	domestic	2723.91211988925
109	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7628792	70	70	1	(40.015 -105.27)	40.015	-105.27	CO	US	domestic	N/A
110	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7637907	70	70	1	(40.1672 -105.1014)	40.1672	-105.1014	CO	US	domestic	N/A
111	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7641653	70	70	3	(40.1672 -105.1014); (40.015 -105.27); (40.3978 -105.0744)	40.1672	-105.1014	CO	US	domestic	N/A
112	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7641653	70	70	1	(45.0097 -93.3489)	45.0097	-93.3489	MN	US	domestic	1100.9928342995584
113	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7648268	70	70	1	(38.6008 -90.4328)	38.6008	-90.4328	MO	US	domestic	N/A
114	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7648499	70	70	2	(39.9614 -105.5103); (40.015 -105.27)	39.9614	-105.5103	CO	US	domestic	N/A
115	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7648503	70	70	1	(40.015 -105.27)	40.015	-105.27	CO	US	domestic	N/A
116	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7651492	70	70	1	(40.015 -105.27)	40.015	-105.27	CO	US	domestic	N/A
117	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7651493	70	70	3	(40.5853 -105.0839); (40.3083 -105.0806); (40.3978 -105.0744)	40.5853	-105.0839	CO	US	domestic	N/A
118	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7654735	70	70	2	(38.7483 -89.9831); (39.0397 -90.1406)	38.7483	-89.9831	IL	US	domestic	N/A
119	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7654735	70	70	1	(38.5581 -91.0119)	38.5581	-91.0119	MO	US	domestic	91.80624072041518
120	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7655016	70	70	1	(37.775 -122.4183)	37.775	-122.4183	CA	US	domestic	N/A
121	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7686506	70	70	4	(38.8106 -90.6997); (38.815 -90.9558); (38.5506 -90.3331); (38.627 -90.1994)	38.8106	-90.6997	MO	US	domestic	N/A
122	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7686506	70	70	1	(34.4114 -118.5392)	34.4114	-118.5392	CA	US	domestic	2522.295961299817
123	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7686804	70	70	2	(40.1672 -105.1014); (39.9778 -105.1314)	40.1672	-105.1014	CO	US	domestic	N/A
124	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7686827	70	70	1	(40.015 -105.27)	40.015	-105.27	CO	US	domestic	N/A
125	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7691102	70	70	2	(40.1672 -105.1014); (40.015 -105.27)	40.1672	-105.1014	CO	US	domestic	N/A
126	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7694822	70	70	1	(42.2528 -71.0028)	42.2528	-71.0028	MA	US	domestic	N/A
127	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7699842	70	70	3	(40.015 -105.27); (40.1672 -105.1014); (40.015 -105.27)	40.015	-105.27	CO	US	domestic	N/A
